DATA;GODZINA;MODUL;RODZAJ ZAJEC;SALA;PROWADZACY
;18:10 - 19:40;Sieciowe systemy operacyjne;W;Aula WSTI;dr inż. Stefan Senczyna
07/05/2017;10:40 - 12:10;Sieciowe systemy operacyjne;lab;244;mgr inż. Jarosław Brodziak
;12:25 - 13:55;Sieciowe systemy operacyjne;lab;244;mgr inż. Jarosław Brodziak
;14:40 - 16:10;Podstawy elektroniki i miernictwa;ćw;19;dr inż. Tomasz Rudnicki
;16:25 - 17:55;Podstawy elektroniki i miernictwa;ćw;19;dr inż. Tomasz Rudnicki
19-21.05.2017;;;;;
19/05/2017;16:00 - 17:30;Inżynieria oprogramowania;W;Aula WSTI;dr inż. Krystian Gembala
;17:40 - 18:25;Inżynieria oprogramowania;W;Aula WSTI;dr inż. Krystian Gembala
;18:35 - 19:20;Języki obiektowe;W;Aula WSTI;dr hab. inż. Mariusz Boryczka
;19:30 - 21:00;Języki obiektowe;W;Aula WSTI;dr hab. inż. Mariusz Boryczka
20/05/2017;08:55 - 10:25;Fizyka;ćw;19;dr Joanna Studnik
;10:40 - 12:10;Języki obiektowe;lab;PN 3p;mgr Jacek Żywczok
;12:25 - 13:55;Języki obiektowe;lab;PN 3p;mgr Jacek Żywczok
;;;;;
;14:40 - 16:10;Sieciowe systemy operacyjne;ćw;PN 4p;mgr inż. Jarosław Brodziak
;16:25 - 17:55;Sieciowe systemy operacyjne;ćw;PN 4p;mgr inż. Jarosław Brodziak
;18:10 - 19:40;Podstawy elektroniki i miernictwa;ćw;41;dr inż. Tomasz Rudnicki
;19:50 - 20:35;Podstawy elektroniki i miernictwa;ćw;41;dr inż. Tomasz Rudnicki
21/05/2017;08:00 - 8:45;Podstawy elektroniki i miernictwa;W;Aula WSTI;dr Ireneusz Gościniak
;08:55 - 10:25;Podstawy elektroniki i miernictwa;W;Aula WSTI;dr Ireneusz Gościniak
;10:40 - 12:10;Język angielski;ćw;19;mgr Ewa Kurka
;12:25 - 13:55;Język angielski;ćw;19;mgr Ewa Kurka
;;;;;
;14:40 - 16:10;Inżynieria oprogramowania;lab;PN 4p;dr inż. Krystian Gembala
;16:25 - 17:55;Inżynieria oprogramowania;lab;PN 4p;dr inż. Krystian Gembala
;18:10 - 19:40;Systemy wbudowane;lab;41;dr inż. Tomasz Rudnicki
;19:50 - 20:35;Systemy wbudowane;lab;41;dr inż. Tomasz Rudnicki
02-03.06.2017;;;;;
